               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.025411,           0.0056723,                   0,             0.96421,             0.98726,             0.98793,             0.71957,            0.019967,           0.0035657,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.023511,           0.0059011,                   0,              0.9628,             0.98903,             0.98971,             0.71994,            0.020264,           0.0035999,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.023706,           0.0057759,                   0,             0.96867,              0.9845,              0.9902,             0.71103,             0.02052,           0.0036055,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.023902,           0.0057217,                   0,              0.9632,             0.98301,             0.98919,             0.71318,            0.020225,            0.003505,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.024628,           0.0058256,                   0,             0.96473,             0.98725,             0.99053,             0.72006,            0.019535,           0.0034578,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.023246,           0.0058743,                   0,             0.96872,             0.98301,             0.98948,             0.72205,            0.019884,           0.0035097,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.023215,           0.0058235,                   0,             0.96596,             0.98726,             0.98703,             0.72511,            0.019596,           0.0034769,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,             0.02381,           0.0059467,                   0,             0.96536,             0.98726,             0.98772,             0.73273,             0.01934,           0.0034963,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.023837,           0.0058519,                   0,              0.9656,             0.98938,             0.98613,             0.73529,            0.018783,           0.0034615,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.022812,             0.00536,                   0,             0.96675,             0.98758,             0.98855,             0.74192,            0.019027,           0.0034352,                   0,           0.0080398,           0.0080398,           0.0080398
